Year,Population,Community Area
1/1/1930,47651,North Center
1/1/1940,48759,North Center
1/1/1950,47787,North Center
1/1/1960,43877,North Center
1/1/1970,39410,North Center
1/1/1980,35161,North Center
1/1/1990,33010,North Center
1/1/2000,31895,North Center
1/1/2010,31867,North Center
1/1/2018,35705,North Center
