Year,Poverty,CA
1/1/1970,13.8,Uptown
1/1/1980,22.6,Uptown
1/1/1990,27.9,Uptown
1/1/2000,21.7,Uptown
1/1/2010,17.9,Uptown
1/1/2018,15,Uptown
1/1/1970,10.6,Chicago
1/1/1980,16.8,Chicago
1/1/1990,18.3,Chicago
1/1/2000,16.6,Chicago
1/1/2010,18.3,Chicago
1/1/2018,15.5,Chicago
