Year,Population,Community Area
1/1/1930,97873,Lincoln Park
1/1/1940,100826,Lincoln Park
1/1/1950,102396,Lincoln Park
1/1/1960,88836,Lincoln Park
1/1/1970,67804,Lincoln Park
1/1/1980,57146,Lincoln Park
1/1/1990,61092,Lincoln Park
1/1/2000,64320,Lincoln Park
1/1/2010,64116,Lincoln Park
1/1/2018,68697,Lincoln Park
