Year,Population,Community Area
 1930,57094,Rogers Park
 1940,60565,Rogers Park
 1950,62252,Rogers Park
 1960,56888,Rogers Park
 1970,60787,Rogers Park
 1980,55525,Rogers Park
 1990,60378,Rogers Park
 2000,63484,Rogers Park
 2010,54991,Rogers Park
 2020,55628,Rogers Park
