Year,Poverty,CA
1/1/1970,3.2,West Ridge
1/1/1980,4.4,West Ridge
1/1/1990,10.8,West Ridge
1/1/2000,12.5,West Ridge
1/1/2010,16.5,West Ridge
1/1/2018,16,West Ridge
1/1/1970,10.6,Chicago
1/1/1980,16.8,Chicago
1/1/1990,18.3,Chicago
1/1/2000,16.6,Chicago
1/1/2010,18.3,Chicago
1/1/2018,15.5,Chicago
