% Families in Poverty,,,,,1970,1980,1990,2000,2010,2018
Rogers Park,,,,,4.6,11.9,16,17.9,21.7,19.8
Chicago,,,,,10.6,16.8,18.3,16.6,18.3,15.5
,,,,,,,,,,
,,,,,,,,,,
