Year,Population,Community Area
1930,39759,West Ridge
1940,43553,West Ridge
1950,47930,West Ridge
1960,63884,West Ridge
1970,65432,West Ridge
1980,61129,West Ridge
1990,65374,West Ridge
2000,73199,West Ridge
2010,71942,West Ridge
2018,77212,West Ridge
