Year,Population,Community Area
1/1/1930,46419,Lincoln Square
1/1/1940,47179,Lincoln Square
1/1/1950,47298,Lincoln Square
1/1/1960,49850,Lincoln Square
1/1/1970,47751,Lincoln Square
1/1/1980,43954,Lincoln Square
1/1/1990,44891,Lincoln Square
1/1/2000,44574,Lincoln Square
1/1/2010,39493,Lincoln Square
1/1/2018,41713,Lincoln Square
