Year,Income,CA
1/1/1970,76044,West Ridge
1/1/1980,66539,West Ridge
1/1/1990,61382,West Ridge
1/1/2000,59811,West Ridge
1/1/2010,54038,West Ridge
1/1/2018,59183,West Ridge
1/1/1970,57560,Chicago
1/1/1980,49754,Chicago
1/1/1990,51232,Chicago
1/1/2000,54101,Chicago
1/1/2010,51479,Chicago
1/1/2018,64997,Chicago
