Year,Population,Community Area
1/1/1930,114872,Lake View
1/1/1940,121455,Lake View
1/1/1950,124824,Lake View
1/1/1960,118764,Lake View
1/1/1970,114943,Lake View
1/1/1980,97519,Lake View
1/1/1990,91031,Lake View
1/1/2000,94817,Lake View
1/1/2010,94368,Lake View
1/1/2018,100547,Lake View
