Year,Population,Community Area
1/1/1930,67699,Uptown
1/1/1940,77677,Uptown
1/1/1950,84462,Uptown
1/1/1960,76103,Uptown
1/1/1970,74838,Uptown
1/1/1980,64414,Uptown
1/1/1990,63839,Uptown
1/1/2000,63551,Uptown
1/1/2010,56362,Uptown
1/1/2018,58424,Uptown
