Year,Poverty,CA
1/1/1970,5.2,Edgewater
1/1/1980,11.2,Edgewater
1/1/1990,13.6,Edgewater
1/1/2000,14.3,Edgewater
1/1/2010,13.3,Edgewater
1/1/2018,10.7,Edgewater
1/1/1970,10.6,Chicago
1/1/1980,16.8,Chicago
1/1/1990,18.3,Chicago
1/1/2000,16.6,Chicago
1/1/2010,18.3,Chicago
1/1/2018,15.5,Chicago
